number,prob_DM,prob_ann,combined_score,source
717,0.88,,0.94,Fusion Only
631,0.86,,0.8704271551829879,Fusion Only
763,0.86,,0.8169454123923787,Fusion Only
554,0.81,,0.760744462714938,Fusion Only
533,0.87,,0.7194644769720617,Fusion Only
682,0.81,,0.6764165128927562,Fusion Only
751,0.82,,0.637615029849403,Fusion Only
75,0.87,,0.5780502541479655,Fusion Only
809,0.87,,0.57009391448315,Fusion Only
776,0.86,,0.5475345811279839,Fusion Only
545,,0.9438352786307238,,RF-ANN Only
864,,0.9816293451655068,,RF-ANN Only
